#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
31,Philippines,"3,682,083",+233,"59,891 ",+113,"3,597,058","+1,241","25,134",289,"32,826",534,"29,224,500","260,538","112,169,737 ",Asia,"301,8734",2,1,224
32,Canada,"3,590,601",,"38,095 ",,"3,356,639",,"195,867",407,"93,677",994,"60,047,384","1,566,608","38,329,563 ",North America,"111,0061",,,"5,110"
33,Peru,"3,552,467",,"212,528 ",,N/A,N/A,N/A,378,"105,143","6,290","29,255,017","865,865","33,787,042 ",South America,101591,,,"47,926"
34,Switzerland,"3,551,790",,"13,767 ",,"3,105,701",,"432,322",103,"405,133","1,570","20,548,491","2,343,852","8,766,974 ",Europe,26370,,,"49,313"
35,Chile,"3,515,878",,"57,094 ",,"3,244,653",,"214,131",414,"181,161","2,942","36,191,093","1,864,801","19,407,481 ",South America,63401,,,"11,033"
36,Greece,"3,195,887",,"28,274 ",,"3,002,224",,"165,389",356,"309,299","2,736","76,926,444","7,444,962","10,332,685 ",Europe,33650,,,"16,006"
37,Denmark,"2,940,998",,"5,932 ",,"2,898,120",,"36,946",22,"504,597","1,018","127,005,063","21,790,684","5,828,411 ",Europe,29830,,,"6,339"
38,Romania,"2,877,544","+1,602","65,285 ",+27,"2,606,660",,"205,599",253,"151,371","3,434","22,396,439","1,178,145","19,009,910 ",Europe,72911,84,1,"10,815"
39,Sweden,"2,491,980",,"18,472 ",,"2,450,948",+405,"22,560",22,"244,047","1,809","18,445,431","1,806,418","10,211,053 ",Europe,45531,,,"2,209"
40,Iraq,"2,322,303",,"25,186 ",,"2,289,838",,"7,279",35,"55,526",602,"18,403,689","440,028","41,823,873 ",Asia,"181,6612",,,174
41,Serbia,"1,991,620",,"15,899 ",,"1,948,245",,"27,476",23,"229,584","1,833","9,326,796","1,075,147","8,674,900 ",Europe,45461,,,"3,167"
42,Bangladesh,"1,952,162",+31,"29,124 ",,"1,889,879",+274,"33,159","1,283","11,648",174,"13,905,661","82,968","167,601,817 ",Asia,"865,75512",0.2,,198
43,Hungary,"1,876,946","+2,740","45,838 ",+26,"1,742,051","+6,122","89,057",47,"195,173","4,766","11,233,362","1,168,097","9,616,809 ",Europe,52101,285,3,"9,261"
44,Slovakia,"1,757,117","+2,538","19,643 ",+25,"1,683,932","+6,767","53,542",130,"321,561","3,595","6,995,626","1,280,233","5,464,336 ",Europe,32781,464,5,"9,798"
45,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,173","1,353","16,670,254","1,605,544","10,382,931 ",Asia,67391,,,118
46,Georgia,"1,652,235",+266,"16,781 ",+2,"1,632,194",+348,"3,260",,"415,596","4,221","16,627,678","4,182,459","3,975,575 ",Asia,22370,67,0.5,820
47,Pakistan,"1,526,829",+101,"30,362 ",,"1,487,073",+113,"9,394",262,"6,682",133,"27,805,841","121,687","228,503,165 ",Asia,"1507,5268",0.4,,41
48,Ireland,"1,494,814",,"6,903 ",,"1,344,730",,"143,181",53,"296,844","1,371","11,942,846","2,371,641","5,035,689 ",Europe,37290,,,"28,433"
49,Norway,"1,417,631",,"2,667 ",,N/A,N/A,N/A,20,"257,916",485,"11,002,430","2,001,719","5,496,490 ",Europe,"42,0610",,,"241,247"
50,Kazakhstan,"1,305,327",+12,"13,660 ",,"1,290,720",+41,947,24,"68,073",712,"11,575,012","603,640","19,175,355 ",Asia,"151,4042",0.6,,49
51,Hong Kong,"1,193,023",,"8,886 ",,N/A,N/A,N/A,115,"156,875","1,168","44,972,952","5,913,643","7,604,949 ",Asia,68560,,,"153,966"
52,Morocco,"1,164,135",,"16,061 ",,"1,147,355",,719,293,"30,889",426,"11,237,010","298,166","37,687,097 ",Africa,"322,3463",,,19
53,Bulgaria,"1,147,165",,"36,740 ",,"943,649",,"166,776",126,"167,332","5,359","9,715,339","1,417,138","6,855,607 ",Europe,61871,,,"24,327"
54,Singapore,"1,145,121",,"1,307 ",,"1,076,802",,"67,012",19,"193,041",220,"23,611,604","3,980,367","5,932,017 ",Asia,"54,5390",,,"11,297"
